0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732,0.732
2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172,2.172
3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612,3.612
5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052,5.052
6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.306,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492,6.492
7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,6.48,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.932,7.848,7.932,7.932,7.932,7.932,7.932,7.932,7.746,7.932,7.932,7.932,7.932,7.932,7.932,7.9176,7.932,7.932,7.932,7.932,7.932
9.372,9.186,9.372,9.372,9.372,9.372,9.372,9.372,9.372,9.372,9.372,9.372,9.372,9.372,9.372,9.372,8.958,9.372,9.372,9.372,9.044,9.372,9.372,9.372,9.372,9.372,9.372,9.372,9.372,9.372,9.372,9.372,9.372,9.186,9.372,9.372,9.186,9.372,8.64,9.372,9.372,9.372,9.372,9.372,9.372,9.372,9.372,9.372,9.372,9.3408,9.044,9.372,9.372,9.372,9.372,9.372,9.372,9.35,9.372,6.48,9.372,9.372,9.186,9.372,9.372,9.372,8.64,9.372,9.372,9.372,9.372,9.372,9.372,9.372,9.372,9.372,9.372,9.372,9.372,9.186,8.16,9.372,9.372,9.372,9.372,9.186,9.372,8.0192,9.372,9.372,9.372,9.372,9.372,9.372,8.448,9.372,9.044,9.366,9.372,9.044
10.702,9.36,10.626,10.812,10.812,10.812,10.812,10.812,10.812,10.682,10.484,10.812,10.398,10.812,10.812,10.812,9,10.812,10.812,10.812,9.12,10.812,10.812,10.812,10.728,10.812,10.812,10.812,10.812,10.626,10.812,10.812,10.302,9.36,10.812,10.08,9.36,10.484,8.64,10.08,10.812,10.812,10.812,10.812,10.08,10.812,10.812,10.812,10.812,9.792,9.12,10.812,10.812,10.812,10.812,10.812,10.812,9.84,10.812,6.48,10.812,10.812,9.36,10.484,10.812,10.812,8.64,10.812,10.812,10.812,10.812,10.08,10.398,10.398,10.812,10.302,10.812,10.682,10.812,9.36,8.16,10.812,10.812,10.398,10.08,9.36,10.56,8.304,10.812,10.79,10.812,10.812,10.626,10.812,8.448,10.398,9.12,9.96,10.812,9.12
10.968,9.36,10.8,12.252,12.252,12.252,11.52,12.252,12.252,11.248,10.56,12.252,10.626,12.252,12.252,12.252,9,12.252,12.252,12.252,9.12,12.252,12.252,12.252,11.04,12.252,12.252,12.252,12.252,10.986,12.252,11.52,10.32,9.36,12.252,10.08,9.36,10.56,8.64,10.08,12.252,11.52,11.52,12.252,10.08,12.252,12.252,12.252,12.252,9.792,9.12,11.52,12.252,12.252,12.252,12.252,12.252,9.84,12.252,6.48,12.252,12.252,9.36,10.56,12.252,11.924,8.64,12.252,12.23,12.252,12.252,10.08,10.44,10.44,12.252,10.32,12.252,10.92,12.252,9.36,8.16,11.52,12.252,10.44,10.08,9.36,10.68,8.304,12.252,11.28,12.252,11.838,10.8,11.52,8.448,10.44,9.12,10.692,12.252,9.12
10.968,9.36,10.8,12.96,13.692,13.692,11.52,13.692,13.692,12.612,10.56,13.692,11.892,13.692,13.692,12.96,9,13.692,13.692,12.96,9.12,13.692,13.692,13.692,11.368,12.96,13.692,13.692,13.692,12.252,12.982,11.52,10.32,9.36,13.692,10.08,9.36,10.56,8.64,10.08,13.692,11.52,11.52,13.692,10.08,13.692,13.692,13.692,13.278,9.792,9.12,11.52,13.692,13.506,13.506,13.692,13.692,9.84,13.692,6.48,13.692,12.982,9.36,10.56,13.692,12,8.64,13.692,12.72,13.692,13.692,10.08,10.44,10.44,13.692,10.32,13.692,10.92,13.692,9.36,8.16,11.52,13.692,10.44,10.08,9.36,10.68,8.304,13.692,11.28,13.692,11.88,10.8,11.706,8.448,10.44,9.12,12.132,13.692,9.852
